FusionGene	Gene1	Gene1_Chromosome	Gene1_StartPosition	Gene1_EndPosition	Gene2	Gene2_Chromosome	Gene2_StartPosition	Gene2_EndPosition	Gene3	Gene3_Chromosome	Gene3_StartPosition	Gene3_EndPosition
ENSG00000230817.6-ENSG00000230817.6	ENSG00000230817.6	chr1	82907563	82952834	ENSG00000230817.6	chr1	82907563	82952834				
ENSG00000231064.9-ENSG00000117151.13	ENSG00000231064.9	chr1	155195002	155198531	ENSG00000117151.13	chr1	84553122	84553543				
ENSG00000231158.1-ENSG00000231158.1	ENSG00000231158.1	chr2	158065546	158065819	ENSG00000231158.1	chr2	158065546	158065819				
ENSG00000231329.8-ENSG00000272446.5	ENSG00000231329.8	chr6	139239087	139239329	ENSG00000272446.5	chr6	139239084	139255593				
ENSG00000231666.7-ENSG00000159208.16	ENSG00000231666.7	chr1	158140499	158140506	ENSG00000159208.16	chr1	150284598	150284632				
ENSG00000231898.9-ENSG00000106819.13-ENSG00000124787.14	ENSG00000231898.9	chr2	170350463	170350818	ENSG00000106819.13	chr9	92456206	92456981	ENSG00000124787.14	chr6	4994718.0	5003908.0
ENSG00000232183.1-ENSG00000136504.14-ENSG00000277586.4	ENSG00000232183.1	chrX	138627078	138627101	ENSG00000136504.14	chr17	49788650	49827922	ENSG00000277586.4	chr8	24950956.0	24954230.0
ENSG00000232354.8-ENSG00000114812.13	ENSG00000232354.8	chr3	42506525	42532047	ENSG00000114812.13	chr3	42513800	42527623				
ENSG00000232645.7-ENSG00000125812.16	ENSG00000232645.7	chr20	23357952	23358042	ENSG00000125812.16	chr20	23367004	23370533				
ENSG00000233230.3-ENSG00000233223.5	ENSG00000233230.3	chr2	47906791	47906982	ENSG00000233223.5	chr17	7581973	7582016				
ENSG00000233593.12-ENSG00000285532.2	ENSG00000233593.12	chr1	90789399	90851584	ENSG00000285532.2	chr1	90835661	90849115				
ENSG00000234056.3-ENSG00000287340.2	ENSG00000234056.3	chr13	25172831	25179887	ENSG00000287340.2	chr16	7301606	7304635				
ENSG00000234129.10-ENSG00000101966.14	ENSG00000234129.10	chrX	11106902	11111123	ENSG00000101966.14	chrX	123859879	123886112				
ENSG00000234255.9-ENSG00000251011.6	ENSG00000234255.9	chr2	65456020	65456180	ENSG00000251011.6	chr3	133246107	133257030				
ENSG00000234456.10-ENSG00000139350.12-ENSG00000136888.8	ENSG00000234456.10	chr7	79453566	79461189	ENSG00000139350.12	chr12	96912724	96934977	ENSG00000136888.8	chr9	114592553.0	114592633.0
ENSG00000234736.6-ENSG00000134058.12-ENSG00000176970.8	ENSG00000234736.6	chr10	49137480	49141289	ENSG00000134058.12	chr5	69234796	69250759	ENSG00000176970.8	chrX	148464709.0	148465140.0
ENSG00000234941.1-ENSG00000290439.1	ENSG00000234941.1	chr10	38250443	38250546	ENSG00000290439.1	chr10	38358313	38378172				
ENSG00000235007.3-ENSG00000204659.5-ENSG00000228274.5	ENSG00000235007.3	chr9	129140009	129140082	ENSG00000204659.5	chr5	179678561	179678704	ENSG00000228274.5	chr22	38667863.0	38669745.0
ENSG00000235059.5-ENSG00000124333.16_PAR_Y	ENSG00000235059.5	chrY	22438941	22446364	ENSG00000124333.16_PAR_Y	chrY	57084633	57128422				
ENSG00000235162.9-ENSG00000286520.1	ENSG00000235162.9	chr12	105330675	105367494	ENSG00000286520.1	chr12	105699169	105700721				
ENSG00000235221.3-ENSG00000236581.9	ENSG00000235221.3	chr13	69221867	69269930	ENSG00000236581.9	chr13	33271438	33281059				
ENSG00000235597.3-ENSG00000138771.16-ENSG00000250263.2	ENSG00000235597.3	chr2	104434355	104506273	ENSG00000138771.16	chr4	76645300	76645591	ENSG00000250263.2	chr4	176880068.0	176880551.0
ENSG00000236044.1-ENSG00000181927.4	ENSG00000236044.1	chr13	51966743	51966999	ENSG00000181927.4	chr11	55635114	55638680				
ENSG00000236160.1-ENSG00000224097.5	ENSG00000236160.1	chrX	26657292	26657387	ENSG00000224097.5	chr4	39480787	39481113				
ENSG00000236494.3-ENSG00000233219.1	ENSG00000236494.3	chr7	33793169	33803046	ENSG00000233219.1	chr7	33868502	33874171				
ENSG00000236648.2-ENSG00000236648.2	ENSG00000236648.2	chr1	17717688	17717693	ENSG00000236648.2	chr1	17717688	17717693				
ENSG00000236963.9-ENSG00000136014.12-ENSG00000135517.9	ENSG00000236963.9	chr1	20398484	20428677	ENSG00000136014.12	chr12	95516561	95551395	ENSG00000135517.9	chr12	56449503.0	56454417.0
ENSG00000237558.1-ENSG00000291031.1	ENSG00000237558.1	chrY	17951590	17951747	ENSG00000291031.1	chrY	19555391	19555545				
ENSG00000237596.7-ENSG00000250799.11	ENSG00000237596.7	chr6	136208403	136208412	ENSG00000250799.11	chr19	35811996	35812009				
ENSG00000237931.1-ENSG00000081985.14	ENSG00000237931.1	chrX	41077000	41077090	ENSG00000081985.14	chr1	67338625	67396256				
ENSG00000237980.2-ENSG00000123685.9	ENSG00000237980.2	chr1	212665320	212665611	ENSG00000123685.9	chr1	212686418	212686430				
ENSG00000238083.10-ENSG00000223745.8	ENSG00000238083.10	chr17	46547203	46547488	ENSG00000223745.8	chr1	93264706	93340483				
ENSG00000238223.1-ENSG00000102393.14	ENSG00000238223.1	chrX	115063937	115063945	ENSG00000102393.14	chrX	101397864	101401737				
ENSG00000238562.1-ENSG00000238562.1	ENSG00000238562.1	chr11	102903893	102903920	ENSG00000238562.1	chr11	102903893	102903920				
ENSG00000239586.1-ENSG00000168958.21-ENSG00000168621.15	ENSG00000239586.1	chr3	106901069	106901182	ENSG00000168958.21	chr2	227332420	227355758	ENSG00000168621.15	chr5	37812678.0	37834798.0
ENSG00000240401.9-ENSG00000115355.18	ENSG00000240401.9	chr2	55314191	55314209	ENSG00000115355.18	chr2	55316104	55317589				
ENSG00000240498.9-ENSG00000240498.9	ENSG00000240498.9	chr9	21994903	22049171	ENSG00000240498.9	chr9	21994903	22049171				
ENSG00000241439.1-ENSG00000114547.10	ENSG00000241439.1	chr3	125958557	125958682	ENSG00000114547.10	chr3	125975564	125983337				
ENSG00000242512.9-ENSG00000137285.11-ENSG00000204054.14	ENSG00000242512.9	chr3	181952401	181952404	ENSG00000137285.11	chr6	3224284	3226224	ENSG00000204054.14	chr9	129493067.0	129513425.0
ENSG00000242779.8-ENSG00000104804.9	ENSG00000242779.8	chr19	52990094	52992494	ENSG00000104804.9	chr19	48880968	48885527				
ENSG00000243789.11-ENSG00000125462.20-ENSG00000125347.15	ENSG00000243789.11	chr15	41828103	41835635	ENSG00000125462.20	chr1	156404257	156426833	ENSG00000125347.15	chr5	132472150.0	132472172.0
ENSG00000244461.1-ENSG00000041982.17	ENSG00000244461.1	chr3	78038706	78046713	ENSG00000041982.17	chr9	115020561	115082801				
ENSG00000244607.7-ENSG00000138347.17	ENSG00000244607.7	chr3	42751937	42773201	ENSG00000138347.17	chr10	68148354	68155191				
ENSG00000244754.9-ENSG00000233124.2	ENSG00000244754.9	chr13	32526923	32538820	ENSG00000233124.2	chr13	97168752	97187572				
ENSG00000246430.9-ENSG00000253139.1	ENSG00000246430.9	chr8	56518322	56559473	ENSG00000253139.1	chr8	56536759	56540395				
ENSG00000247400.6-ENSG00000247400.6	ENSG00000247400.6	chr13	95672633	95676234	ENSG00000247400.6	chr13	95672633	95676234				
ENSG00000247627.2-ENSG00000189167.12	ENSG00000247627.2	chr5	134926661	134927658	ENSG00000189167.12	chr13	32303772	32310668				
ENSG00000249199.2-ENSG00000249199.2	ENSG00000249199.2	chr5	17369226	17375520	ENSG00000249199.2	chr5	17369226	17375520				
ENSG00000249534.2-ENSG00000170180.22	ENSG00000249534.2	chr4	38453224	38523105	ENSG00000170180.22	chr4	144109304	144109337				
ENSG00000249859.14-ENSG00000253503.6	ENSG00000249859.14	chr8	127916484	128096585	ENSG00000253503.6	chr8	82522543	82564188				
ENSG00000250280.2-ENSG00000174099.12	ENSG00000250280.2	chr12	65281658	65286710	ENSG00000174099.12	chr12	65305106	65308879				
ENSG00000250802.7-ENSG00000106066.15	ENSG00000250802.7	chr5	77086802	77086826	ENSG00000106066.15	chr7	29120932	29181304				
ENSG00000251886.1-ENSG00000263748.1	ENSG00000251886.1	chr18	21120405	21120422	ENSG00000263748.1	chr18	21182504	21182833				
ENSG00000252398.1-ENSG00000131051.24-ENSG00000049130.16	ENSG00000252398.1	chr3	32045874	32045910	ENSG00000131051.24	chr20	35704327	35713063	ENSG00000049130.16	chr12	88497081.0	88506321.0
ENSG00000252580.1-ENSG00000107223.13	ENSG00000252580.1	chr9	26796174	26796196	ENSG00000107223.13	chr9	136862120	136862253				
ENSG00000253199.2-ENSG00000224622.1-ENSG00000253403.1	ENSG00000253199.2	chr8	20972898	20974372	ENSG00000224622.1	chr12	55158848	55159132	ENSG00000253403.1	chr5	161687348.0	161687439.0
ENSG00000253535.5-ENSG00000253535.5	ENSG00000253535.5	chr8	24300886	24387320	ENSG00000253535.5	chr8	24300886	24387320				
ENSG00000253553.9-ENSG00000253553.9	ENSG00000253553.9	chr8	88542678	88542714	ENSG00000253553.9	chr8	88542678	88542714				
ENSG00000253611.1-ENSG00000253611.1	ENSG00000253611.1	chr8	43219961	43220266	ENSG00000253611.1	chr8	43219961	43220266				
ENSG00000254852.9-ENSG00000255037.1	ENSG00000254852.9	chr16	14742534	14759315	ENSG00000255037.1	chr16	14766403	14770021				
ENSG00000254979.5-ENSG00000140987.21-ENSG00000160752.15	ENSG00000254979.5	chr11	57409176	57410059	ENSG00000140987.21	chr16	3382082	3383465	ENSG00000160752.15	chr1	155312256.0	155312355.0
ENSG00000255502.6-ENSG00000118960.13-ENSG00000240484.1	ENSG00000255502.6	chr11	97942136	97959522	ENSG00000118960.13	chr2	20617819	20651047	ENSG00000240484.1	chr15	92719394.0	92719680.0
ENSG00000256339.1-ENSG00000149564.12	ENSG00000256339.1	chr12	14841093	14844552	ENSG00000149564.12	chr11	124753124	124754250				
ENSG00000257894.2-ENSG00000255652.5	ENSG00000257894.2	chr12	79503170	79503345	ENSG00000255652.5	chr12	34191038	34219219				
ENSG00000258168.6-ENSG00000111679.17	ENSG00000258168.6	chr12	70468111	70510451	ENSG00000111679.17	chr12	6955152	6955170				
ENSG00000258177.1-ENSG00000124523.17-ENSG00000124486.15	ENSG00000258177.1	chr12	96223546	96223826	ENSG00000124523.17	chr6	13588332	13614594	ENSG00000124486.15	chrX	41150922.0	41232471.0
ENSG00000258649.3-ENSG00000139874.6	ENSG00000258649.3	chr14	38190984	38191177	ENSG00000139874.6	chr14	38208444	38209317				
ENSG00000259285.1-ENSG00000204661.9	ENSG00000259285.1	chr15	58065226	58066889	ENSG00000204661.9	chr5	179641547	179643490				
ENSG00000259380.6-ENSG00000259380.6	ENSG00000259380.6	chr15	38226751	38226770	ENSG00000259380.6	chr15	38226751	38226770				
ENSG00000260033.1-ENSG00000260033.1	ENSG00000260033.1	chr16	48600177	48600236	ENSG00000260033.1	chr16	48600177	48600236				
ENSG00000260083.3-ENSG00000260083.3	ENSG00000260083.3	chr16	30876083	30888859	ENSG00000260083.3	chr16	30876083	30888859				
ENSG00000260690.1-ENSG00000260690.1	ENSG00000260690.1	chr16	25454340	25454455	ENSG00000260690.1	chr16	25454340	25454455				
ENSG00000260737.6-ENSG00000197302.11	ENSG00000260737.6	chr16	80561238	80569410	ENSG00000197302.11	chr16	31753767	31754465				
ENSG00000260781.2-ENSG00000166548.17	ENSG00000260781.2	chr16	33923822	33936934	ENSG00000166548.17	chr16	66511832	66517862				
ENSG00000260830.2-ENSG00000100461.18	ENSG00000260830.2	chr14	21384287	21384930	ENSG00000100461.18	chr14	22905159	22919105				
ENSG00000260850.4-ENSG00000177138.17-ENSG00000258704.8	ENSG00000260850.4	chr16	51495103	51524999	ENSG00000177138.17	chrX	9160615	9162265	ENSG00000258704.8	chr14	34963909.0	34971971.0
ENSG00000260851.7-ENSG00000156475.19	ENSG00000260851.7	chr16	66481176	66513793	ENSG00000156475.19	chr5	146581147	146581265				
ENSG00000261692.1-ENSG00000278847.1	ENSG00000261692.1	chr16	89420076	89422193	ENSG00000278847.1	chrY	2934407	2934513				
ENSG00000261738.8-ENSG00000261738.8	ENSG00000261738.8	chr18	5721861	5722043	ENSG00000261738.8	chr18	5721861	5722043				
ENSG00000261771.5-ENSG00000144485.11	ENSG00000261771.5	chr15	55450223	55498227	ENSG00000144485.11	chr2	238239181	238240446				
ENSG00000263080.1-ENSG00000175643.10	ENSG00000263080.1	chr16	11344352	11345122	ENSG00000175643.10	chr16	11345451	11351332				
ENSG00000263508.6-ENSG00000141577.14	ENSG00000263508.6	chr17	10844675	10847940	ENSG00000141577.14	chr17	81199819	81204068				
ENSG00000264569.2-ENSG00000169733.12	ENSG00000264569.2	chr17	82037902	82038209	ENSG00000169733.12	chr17	82047903	82051561				
ENSG00000265142.9-ENSG00000283346.1-ENSG00000067842.19	ENSG00000265142.9	chr18	21829124	21831248	ENSG00000283346.1	chr16	15134076	15134118	ENSG00000067842.19	chrX	153542324.0	153582500.0
ENSG00000266104.1-ENSG00000101246.20	ENSG00000266104.1	chr20	63286809	63286812	ENSG00000101246.20	chr20	63699479	63699799				
ENSG00000266412.6-ENSG00000289092.1	ENSG00000266412.6	chr10	46006413	46030541	ENSG00000289092.1	chr10	46007582	46007961				
ENSG00000267280.6-ENSG00000224616.5-ENSG00000288932.2	ENSG00000267280.6	chr17	61399240	61399265	ENSG00000224616.5	chr1	100264010	100264016	ENSG00000288932.2	chr2	64291146.0	64291371.0
ENSG00000267364.4-ENSG00000267364.4	ENSG00000267364.4	chr17	35313650	35321844	ENSG00000267364.4	chr17	35313650	35321844				
ENSG00000267712.6-ENSG00000115355.18	ENSG00000267712.6	chr18	56096008	56137393	ENSG00000115355.18	chr2	55416924	55418000				
ENSG00000268066.5-ENSG00000142627.13-ENSG00000176746.6	ENSG00000268066.5	chrX	147911643	147911748	ENSG00000142627.13	chr1	16124338	16125191	ENSG00000176746.6	chrX	26192441.0	26195475.0
ENSG00000269692.1-ENSG00000273994.1	ENSG00000269692.1	chr9	39631047	39631564	ENSG00000273994.1	chr9	39651902	39652185				
ENSG00000270066.3-ENSG00000011009.11	ENSG00000270066.3	chr1	109100194	109100610	ENSG00000011009.11	chr1	23793706	23794388				
ENSG00000271724.1-ENSG00000005007.14	ENSG00000271724.1	chr5	146375592	146376195	ENSG00000005007.14	chr19	18853253	18866770				
ENSG00000272274.4-ENSG00000236581.9	ENSG00000272274.4	chr13	106626648	106631020	ENSG00000236581.9	chr13	33273937	33281084				
ENSG00000272274.4-ENSG00000272274.4	ENSG00000272274.4	chr13	106568209	106568506	ENSG00000272274.4	chr13	106568209	106568506				
ENSG00000273179.1-ENSG00000281920.1-ENSG00000198363.18	ENSG00000273179.1	chr4	1167779	1167805	ENSG00000281920.1	chr2	65624234	65628349	ENSG00000198363.18	chr8	61626142.0	61642890.0
ENSG00000273373.1-ENSG00000144815.18-ENSG00000171735.20	ENSG00000273373.1	chr1	110370155	110371836	ENSG00000144815.18	chr3	101801236	101822593	ENSG00000171735.20	chr1	7737960.0	7767334.0
ENSG00000273841.6-ENSG00000072682.20	ENSG00000273841.6	chr5	69367129	69367142	ENSG00000072682.20	chr5	132191839	132227809				
ENSG00000277481.2-ENSG00000277481.2	ENSG00000277481.2	chr16	71950119	72000126	ENSG00000277481.2	chr16	71950119	72000126				
ENSG00000277893.2-ENSG00000103043.15-ENSG00000080822.17	ENSG00000277893.2	chr2	31531372	31580794	ENSG00000103043.15	chr16	70696891	70731516	ENSG00000080822.17	chr3	98517140.0	98521664.0
ENSG00000278595.1-ENSG00000226994.9	ENSG00000278595.1	chr20	4761301	4761558	ENSG00000226994.9	chr2	35159548	35162812				
ENSG00000279604.1-ENSG00000279604.1	ENSG00000279604.1	chr16	86035628	86035942	ENSG00000279604.1	chr16	86035628	86035942				
ENSG00000280132.1-ENSG00000140682.19	ENSG00000280132.1	chr16	31470205	31470443	ENSG00000140682.19	chr16	31471586	31474590				
ENSG00000280426.1-ENSG00000076513.17	ENSG00000280426.1	chr12	109997420	109998170	ENSG00000076513.17	chr12	110021109	110030655				
ENSG00000283294.2-ENSG00000224367.6	ENSG00000283294.2	chr18	14244626	14249458	ENSG00000224367.6	chr18	59036941	59059596				
ENSG00000283588.1-ENSG00000066427.25-ENSG00000272767.1	ENSG00000283588.1	chr14	101040783	101040843	ENSG00000066427.25	chr14	92044807	92050469	ENSG00000272767.1	chr10	63465230.0	63465408.0
ENSG00000284331.1-ENSG00000266850.1	ENSG00000284331.1	chr18	22933350	22933420	ENSG00000266850.1	chr18	22723494	22786798				
ENSG00000284763.1-ENSG00000230284.1	ENSG00000284763.1	chr9	113065536	113065875	ENSG00000230284.1	chr9	114695923	114696261				
ENSG00000284770.2-ENSG00000198551.10-ENSG00000170144.22	ENSG00000284770.2	chr1	235401520	235438889	ENSG00000198551.10	chr19	11597484	11617858	ENSG00000170144.22	chr2	177217706.0	177222230.0
ENSG00000285171.1-ENSG00000087111.22	ENSG00000285171.1	chrX	71106355	71111512	ENSG00000087111.22	chr17	28556470	28558530				
ENSG00000285219.4-ENSG00000258376.2	ENSG00000285219.4	chr6	9224595	9225067	ENSG00000258376.2	chr14	73242652	73244617				
ENSG00000285523.1-ENSG00000285523.1	ENSG00000285523.1	chr12	5088003	5088019	ENSG00000285523.1	chr12	5088003	5088019				
ENSG00000285565.1-ENSG00000141499.18	ENSG00000285565.1	chr6	31828835	31839686	ENSG00000141499.18	chr17	7700742	7703307				
ENSG00000286396.1-ENSG00000239831.1	ENSG00000286396.1	chr3	138125696	138125734	ENSG00000239831.1	chr3	57519670	57519881				
ENSG00000286799.1-ENSG00000257497.2-ENSG00000130414.13	ENSG00000286799.1	chr17	19362761	19370116	ENSG00000257497.2	chr12	75483455	75489814	ENSG00000130414.13	chr2	239960834.0	240018621.0
ENSG00000287424.1-ENSG00000287424.1	ENSG00000287424.1	chr4	165757564	165757657	ENSG00000287424.1	chr4	165757564	165757657				
ENSG00000288769.2-ENSG00000111907.21	ENSG00000288769.2	chr3	127456835	127460972	ENSG00000111907.21	chr6	125248283	125262986				
ENSG00000289039.1-ENSG00000095794.21	ENSG00000289039.1	chr10	133013654	133014368	ENSG00000095794.21	chr10	35196010	35211708				
ENSG00000289492.1-ENSG00000289492.1	ENSG00000289492.1	chr20	31738618	31738723	ENSG00000289492.1	chr20	31738618	31738723				
ENSG00000289625.1-ENSG00000108018.16	ENSG00000289625.1	chr11	73182791	73182848	ENSG00000108018.16	chr10	106577200	106579170				
ENSG00000290106.1-ENSG00000116205.14	ENSG00000290106.1	chr7	25855323	25855417	ENSG00000116205.14	chr1	54104296	54105723				
ENSG00000290374.1-ENSG00000266174.1-ENSG00000205444.4	ENSG00000290374.1	chr4	3949449	3955386	ENSG00000266174.1	chr1	228462075	228462083	ENSG00000205444.4	chr6	4610540.0	4611280.0
ENSG00000290733.1-ENSG00000186088.16-ENSG00000077380.16	ENSG00000290733.1	chr2	110433437	110433672	ENSG00000186088.16	chr7	77311336	77311853	ENSG00000077380.16	chr2	171747777.0	171748066.0
ENSG00000290831.1-ENSG00000106133.19	ENSG00000290831.1	chr7	72954626	72954673	ENSG00000106133.19	chr7	72948486	72948576				
ENSG00000290988.1-ENSG00000013375.17	ENSG00000290988.1	chr19	37667752	37692171	ENSG00000013375.17	chr6	83167795	83170478				
ENSG00000291033.1-ENSG00000076003.5	ENSG00000291033.1	chrY	19567314	19567362	ENSG00000076003.5	chr2	135839627	135862661				
ENSG00000291041.1-ENSG00000273628.1	ENSG00000291041.1	chr13	24967393	24968216	ENSG00000273628.1	chr13	24933007	24936733				
ENSG00000291053.1-ENSG00000167004.14	ENSG00000291053.1	chr15	43746049	43746063	ENSG00000167004.14	chr15	43761425	43771369				
ENSG00000291093.1-ENSG00000096746.18	ENSG00000291093.1	chr10	29409535	29487652	ENSG00000096746.18	chr10	68338504	68342260				
ENSG00000291100.1-ENSG00000132170.24-ENSG00000181786.5	ENSG00000291100.1	chr20	28601604	28602630	ENSG00000132170.24	chr3	12416705	12434065	ENSG00000181786.5	chr19	8697401.0	8698621.0
ENSG00000291103.1-ENSG00000284008.1	ENSG00000291103.1	chr16	53370721	53370868	ENSG00000284008.1	chr16	2106670	2106675				
ENSG00000291134.1-ENSG00000141499.18	ENSG00000291134.1	chr2	113583594	113598655	ENSG00000141499.18	chr17	7701658	7703293				
ENSG00000291137.1-ENSG00000238194.2-ENSG00000167554.15	ENSG00000291137.1	chr1	155216858	155227438	ENSG00000238194.2	chr20	59624910	59628121	ENSG00000167554.15	chr19	52349146.0	52366474.0
ENSG00000291151.1-ENSG00000291151.1	ENSG00000291151.1	chr7	75410340	75416170	ENSG00000291151.1	chr7	75410340	75416170				
ENSG00000291176.1-ENSG00000126107.15-ENSG00000118600.13	ENSG00000291176.1	chr2	96010572	96021179	ENSG00000126107.15	chr1	45006074	45006101	ENSG00000118600.13	chr12	63790320.0	63790409.0
ENSG00000291178.1-ENSG00000136235.17	ENSG00000291178.1	chr7	100325661	100335925	ENSG00000136235.17	chr7	23273522	23274838				
ENSG00000291178.1-ENSG00000157954.15	ENSG00000291178.1	chr7	100332443	100335933	ENSG00000157954.15	chr7	5217923	5225851				
ENSG00000291178.1-ENSG00000291178.1	ENSG00000291178.1	chr7	100328837	100335882	ENSG00000291178.1	chr7	100328837	100335882				
ENSG00000291211.1-ENSG00000160957.15	ENSG00000291211.1	chr15	85196445	85211019	ENSG00000160957.15	chr8	144516246	144516439				
